"Species","Forcing","Anomaly","mean","5th","25th","33rd","50th","66th","75th","95th"
"S. salar","ERA5","early",0.37,0.49,0.36,0.37,0.28,0.25,0.27,0.61
"S. salar","ERA5","average",0.13,0.53,0.07,0.15,0.09,-0.14,0.05,0.19
"S. salar","ERA5","late",0.55,0.54,0.63,0.65,0.45,0.27,0.44,0.25
"S. salar","SEAS5","early",-0.05,0.19,0.21,0.17,0.29,0.27,0.25,-0.01
"S. salar","SEAS5","average",-0.05,0.06,0.3,0.35,0.19,-0.14,-0.22,-0.16
"S. salar","SEAS5","late",0.22,0.44,0.4,0.35,0.12,0.25,0.33,-0.09
"S. trutta","ERA5","early",0.29,0.41,-0.2,0.1,0.34,0.45,0.29,0.15
"S. trutta","ERA5","average",-0.35,0.03,-0.38,-0.48,0.01,0.36,-0.13,0.07
"S. trutta","ERA5","late",0.22,0.23,0.2,0.18,0.49,0.45,0.35,0.41
"S. trutta","SEAS5","early",0.63,0.26,0.24,0.38,0.51,0.6,0.25,-0.12
"S. trutta","SEAS5","average",0.24,0.27,0.16,0.57,-0.03,0.28,0.24,0.68
"S. trutta","SEAS5","late",0.06,0.06,0.35,0.26,0.19,0.22,0.24,0.17
"A. anguilla","ERA5","early",0.41,0.21,0.14,0.36,0.3,0.25,0.13,-0.15
"A. anguilla","ERA5","average",0.23,-0.06,-0.42,-0.22,0.36,0.04,0.08,0.07
"A. anguilla","ERA5","late",0.53,0.23,0.42,0.49,0.21,0.34,0.16,0.51
"A. anguilla","SEAS5","early",0.24,0.14,0.05,-0.02,-0.06,-0.3,0.09,-0.09
"A. anguilla","SEAS5","average",-0.38,-0.2,-0.14,-0.31,-0.27,0.11,0.03,-0.36
"A. anguilla","SEAS5","late",-0.04,0.12,0.3,0.24,0.27,0.25,-0.1,0.17
